sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
2.0,5,0.4,2,0.119,0.12457847614355977,0.325,0.22300000000000003,0.04365039848381932
2.0,5,0.4,3,0.131,0.14401590699290978,0.34,0.23380000000000004,0.04451945843201901
2.0,5,0.4,4,0.11800000000000005,0.1367498848609915,0.343,0.22300000000000003,0.04389946756551036
2.0,10,0.1,0,0.055999999999999994,0.04955061877052819,0.069,0.0018000000000000238,0.020190135215869078
2.0,10,0.1,1,0.04000000000000001,0.039999996802506016,0.1,0.064,0.01789718999553992
2.0,10,0.1,2,0.0040000000000000036,0.009999069678859732,0.08800000000000001,0.04120000000000001,0.01823002409647947
2.0,10,0.1,3,0.020000000000000004,0.02200020325134598,0.093,0.0504,0.017846971595972712
2.0,10,0.1,4,0.006000000000000005,0.00998607471430435,0.09100000000000001,0.04180000000000001,0.01970871814169053
2.0,10,0.2,0,0.016000000000000014,0.02305477136062173,0.162,0.08040000000000001,0.020524613381603517
2.0,10,0.2,1,0.08200000000000002,0.08899999969188402,0.195,0.1302,0.02024471128766342
2.0,10,0.2,2,0.07200000000000001,0.0770000374773909,0.191,0.12260000000000001,0.02053653862562008
2.0,10,0.2,3,0.08600000000000001,0.0889989459958557,0.19,0.12940000000000002,0.019215212431519725
2.0,10,0.2,4,0.027000000000000024,0.03325453450710514,0.17800000000000002,0.0922,0.021332376973966005
2.0,10,0.3,0,0.063,0.07685507873288877,0.266,0.1538,0.022306713913768556
2.0,10,0.3,1,0.13599999999999998,0.14000000661785048,0.295,0.20199999999999999,0.021401891602956063
2.0,10,0.3,2,0.11099999999999999,0.1266046683080292,0.282,0.1884,0.02111448373184356
2.0,10,0.3,3,0.095,0.10201243660773032,0.27999999999999997,0.1732,0.021679973565564913
2.0,10,0.3,4,0.06799999999999998,0.07532256828807576,0.26,0.1526,0.022250532267593468
2.0,10,0.4,0,0.10600000000000004,0.12208689088640307,0.335,0.2156,0.022826110419649093
2.0,10,0.4,1,0.18500000000000003,0.19100347228915882,0.384,0.26820000000000005,0.023189062771462453
2.0,10,0.4,2,0.15100000000000002,0.16403716318390887,0.368,0.2474,0.0224468446370344
2.0,10,0.4,3,0.15800000000000003,0.1719661123477953,0.375,0.2514,0.022136161893304716
2.0,10,0.4,4,0.135,0.14715619651722556,0.371,0.23660000000000003,0.022446121585378145
2.0,15,0.1,0,0.05099999999999999,0.045031626921730655,0.07800000000000001,0.005400000000000016,0.013265428174590331
2.0,15,0.1,1,0.04000000000000001,0.0410000050849607,0.099,0.06360000000000002,0.012114280808493203
2.0,15,0.1,2,0.010000000000000009,0.011002669203627885,0.095,0.04460000000000001,0.012044322784690573
2.0,15,0.1,3,0.021000000000000005,0.02500017916220633,0.096,0.05340000000000001,0.011453351400923337
2.0,15,0.1,4,0.008000000000000007,0.009000013818407523,0.094,0.04300000000000001,0.01288817927956699
2.0,15,0.2,0,0.02400000000000002,0.031017259673672,0.17300000000000001,0.0896,0.013878419616401055
2.0,15,0.2,1,0.08700000000000001,0.08900001063750676,0.198,0.13260000000000002,0.012726871776447905
2.0,15,0.2,2,0.07100000000000001,0.07799999373554879,0.194,0.12380000000000002,0.013335547268730045
2.0,15,0.2,3,0.085,0.09399999561318267,0.191,0.1316,0.012716229462673999
2.0,15,0.2,4,0.03,0.035004861106381874,0.183,0.0942,0.014018433545304063
2.0,15,0.3,0,0.06799999999999998,0.07999150780930653,0.27,0.15599999999999997,0.015907843715935725
2.0,15,0.3,1,0.13699999999999998,0.13999999552279752,0.296,0.20179999999999998,0.014360928606224708
2.0,15,0.3,2,0.11499999999999999,0.12900126440885723,0.284,0.1904,0.015458591571645714
2.0,15,0.3,3,0.09799999999999998,0.10600459199215562,0.288,0.1788,0.014294868420580883
