arch,seed,flip_y,acc_ens,nll,brier,ece,pred_var,mean_entropy,mean_discordance,frac_A_proxy,cv_acc,cv_recall,cv_f1,mu_avg,kappa_avg,mu_Se,mu_Sp,kappa_Se,kappa_Sp
LR,0,0.3,0.712,0.6028159135951366,0.20605008324123178,0.03957277829156618,0.18971988574052442,0.8180215893693014,0.46063209274038636,0.0,0.542,0.487649905322954,0.5063463539142515,0.5245463115025,152.272565675625,0.5137360769950001,0.5353565460100002,150.46048385950002,154.08464749175002
LR,0,0.5,0.42,0.6931203702036078,0.24994072678418341,0.09862688423529165,0.24893930456212507,0.9968962911015683,0.5004851745228469,0.0,0.4630000000000001,0.3484965635738831,0.3835869149866084,0.502416099855,147.14852102550003,0.48883781525,0.51599438446,147.14465638950003,147.1523856615
LR,1,0.0,0.906,1.3173496236567783,0.09173761434866068,0.031642610638279695,0.0014990159901242916,0.0069165585926877155,0.09323663033878497,0.09,0.8950000000000001,0.9,0.895759438480382,0.8468839578825,155.8382674605,0.8260637484525,0.8677041673125,151.40205187975002,160.27448304125
LR,1,0.1,0.907,1.2330821631473825,0.09025592578150332,0.0405560106169339,0.002148164997257367,0.01031139235755785,0.19201027489175496,0.19,0.7949999999999999,0.8108686868686871,0.7969575770995657,0.71448261830875,138.208960988,0.6925914174725,0.736373819145,152.40798645575,124.00993552025
LR,1,0.3,0.848,1.738468837110967,0.14720729640221686,0.10734222636817498,0.00716425283787885,0.03367641088942733,0.3577148944835191,0.35,0.6250000000000001,0.5741545352743561,0.5885906331446332,0.5946114407587499,141.78945519275,0.5686456911375,0.6205771903799999,141.91271558050002,141.666194805
LR,1,0.5,0.437,0.698000013736951,0.25238778367043124,0.07380617964270741,0.24920001952051252,0.997676846535682,0.4989889568777607,0.0,0.517,0.4276632302405498,0.4592762566254579,0.5034193873449999,144.671316828625,0.4857916357924999,0.5210471388975,143.9959039125,145.34672974475
LR,2,0.0,0.836,2.3866246526216988,0.16220910136533656,0.050297721290162564,0.0018134001514263246,0.008765591851478849,0.16402250151676287,0.162,0.8240000000000001,0.8200000000000001,0.8234970262397155,0.7798329541775,139.77448415187501,0.787713281995,0.7719526263600001,142.792283964,136.75668433975
LR,2,0.1,0.832,2.358181676898533,0.16707166345145946,0.08048823156858961,0.002401139715784092,0.012355496237473621,0.23641152515573777,0.233,0.735,0.7155151515151514,0.7289477185689226,0.6779963170575,138.11720025525,0.68172853632,0.674264097795,130.15248059375,146.08191991675
LR,2,0.3,0.774,2.6235379421541003,0.21717333401118172,0.14874344744913556,0.00914705883950664,0.04295414579613382,0.3870376017866553,0.376,0.5860000000000001,0.5872121212121213,0.5853603374945822,0.5808237813712499,150.76571498425,0.5733927575075001,0.5882548052350001,152.930456908,148.6009730605
LR,2,0.5,0.408,7.679264484736406,0.5803230358278747,0.3661672536564515,0.013228816923575188,0.06470512963445296,0.43679941599812094,0.419,0.506,0.4868686868686868,0.4928517722950697,0.5376314523374999,149.54584143862502,0.5280359383225,0.5472269663525001,153.2559008165,145.83578206075
LR,3,0.0,0.838,2.3342449623612542,0.15970794504720195,0.059818465904217036,0.0013207583348449194,0.006561640001617951,0.16102870338204683,0.158,0.8370000000000001,0.836,0.8367639337459906,0.7944030915325001,144.653285579375,0.7923971301975,0.7964090528675,143.967024847,145.33954631174998
LR,3,0.1,0.839,2.1274510619250107,0.15753266164450355,0.07280274137007366,0.003990618059772104,0.018569110886215667,0.22350948045605906,0.218,0.776,0.774647590995161,0.7717542117638713,0.71509106324625,145.48558807412502,0.6963820963925,0.7338000301,144.73344126375002,146.2377348845
LR,3,0.3,0.824,2.0633139679952026,0.1685698409625795,0.10391391202988812,0.007266246918388821,0.034213315149014316,0.34638037686011364,0.337,0.6479999999999999,0.5839703774486383,0.6032583695374393,0.60609334734625,150.292374355,0.5660224025474999,0.646164292145,144.153793098,156.43095561200002
LR,3,0.5,0.585,4.266389153675953,0.39210463774068216,0.3380033283261171,0.021874086818385,0.10312195929600887,0.463754494194022,0.432,0.518,0.3066619915848527,0.3712069004698021,0.52981599443625,147.803375545,0.4910221027349999,0.5686098861375,147.98813150150002,147.6186195885
LR,4,0.0,0.833,2.4099713481867506,0.16445704343510578,0.051525311014041356,0.0026613390659844327,0.012721967450420878,0.1671183825010902,0.165,0.8149999999999998,0.836,0.8188573829263879,0.76174582155375,140.95650584162502,0.7320090476974999,0.79148259541,139.17019528925,142.74281639400002
LR,4,0.1,0.82,2.303308726098937,0.17444856366559028,0.08637473199067491,0.005731783576595423,0.026494044191136087,0.2467682976649934,0.239,0.7390000000000001,0.7612038754895898,0.7422033928897004,0.66483741320375,139.47321705412497,0.64066078108,0.6890140453275,134.92145241174998,144.0249816965
LR,4,0.3,0.768,0.5432782496090676,0.17861622702240085,0.05981026966803128,0.18820218459419794,0.8132310407572819,0.4509699700175075,0.0,0.5680000000000001,0.4916008771929824,0.5206532297220027,0.535286125555,141.7094213365,0.5166445861375,0.5539276649725,138.87551641175,144.54332626125
LR,4,0.5,0.494,5.398297477253399,0.48319252335296836,0.39436555397053275,0.02356378511039329,0.11190442273321062,0.4452401545867167,0.414,0.51,0.4747474747474747,0.4879889992027224,0.5269715076175,150.76491896725,0.5243819443925001,0.5295610708424999,149.07036341699998,152.4594745175
MLP,0,0.0,0.992,0.12891275974324573,0.008001611585811658,0.0030401411252076035,3.853677264825581e-05,0.00024302654297814248,0.008040148358459915,0.008,0.918,0.9200000000000002,0.9181326907574624,0.90811003294625,171.68866944225002,0.9097905305925,0.9064295353,171.0028486895,172.37449019500002
MLP,0,0.1,0.92,1.1211890870315364,0.07853166129668296,0.029349899695205624,0.0010436421681299,0.005354360648078337,0.0358095183613944,0.035,0.761,0.745128712871287,0.7578563559969413,0.8311151405949999,163.050183976,0.83013773139,0.8320925498,162.5732668555,163.5271010965
MLP,0,0.3,0.708,4.5556459256250506,0.29084268919424383,0.05570461523743039,0.0013558111596726756,0.006812867788130534,0.026630085782458787,0.025,0.558,0.5288659793814433,0.5377611155396129,0.7890744552650001,157.47337993949998,0.7868824029350001,0.791266507595,157.01191434375,157.93484553524996
MLP,0,0.5,0.503,7.746261092218793,0.4945953936337514,0.07504493060813303,0.001409299959660494,0.006903672474458921,0.03117982946883407,0.029,0.492,0.4774699312714777,0.47167077069938,0.7720468567725,152.14685514899998,0.7646405625249999,0.77945315102,151.01822226225,153.27548803575
MLP,1,0.0,0.991,0.11441446524641806,0.00886415164387715,0.002929682735545881,6.55311280509691e-05,0.00037670101139366635,0.00892968277192812,0.009,0.945,0.954,0.945440828813724,0.93330971662375,175.34928517237498,0.931255306455,0.9353641267925,175.71736187974997,174.98120846499998
MLP,1,0.1,0.91,1.2490037380200958,0.0876241846293441,0.04186164900781298,0.0018902879562037198,0.008842610812966696,0.04329281941658988,0.041,0.7520000000000001,0.7686666666666667,0.7549367364227096,0.8335187287,163.80296196737498,0.8351999876124999,0.8318374697875001,163.94605282725,163.65987110749998
MLP,1,0.3,0.716,4.29252843897658,0.28181061264960533,0.07230362149029747,0.001339045829436662,0.0071363337329418755,0.040676154302294876,0.04,0.568,0.5255767077267637,0.5336507582429493,0.7898921545925,154.8096320475,0.7812106901625,0.7985736190225,150.85309087874998,158.76617321625002
MLP,1,0.5,0.469,8.32745545276211,0.5308399820691505,0.07161355601380386,0.0014509548957654422,0.00680404086307419,0.027519449970905396,0.025,0.512,0.5020833333333333,0.498921679275598,0.7759112075,154.238562559375,0.7701752121975,0.7816472028025,151.05213367025002,157.4249914485
MLP,2,0.0,0.993,0.06533591887677721,0.00653766267322737,0.004754006776353782,0.00021648871906154485,0.0011259917122114897,0.006754151392288915,0.007,0.936,0.926,0.935239695218382,0.9308050977775,174.897015639875,0.929661689125,0.93194850643,174.63864749325,175.15538378649998
MLP,2,0.1,0.933,0.957623201605829,0.06550971377420375,0.02666324744690422,0.001359740097739591,0.006319641827260491,0.040331838415316866,0.038,0.771,0.7715151515151515,0.7706530184321352,0.8393045798850001,164.63269475125003,0.8396258915450001,0.8389832682249999,165.51902270550002,163.746366797
MLP,2,0.3,0.723,4.186331222806292,0.27430432475055133,0.06139437030078806,0.0017732430573662867,0.008213220683525136,0.03910431508555331,0.036,0.583,0.569050505050505,0.5764347847823217,0.798114298865,157.669929649375,0.797083530945,0.799145066785,157.06853839549998,158.27132090325003
MLP,2,0.5,0.483,8.068571069798118,0.5142390465330521,0.06260363201684942,0.0019224825338566953,0.009079413416080194,0.02724380185294446,0.024,0.483,0.4828282828282828,0.4801554328550377,0.776482755985,154.242893433,0.7738186860524999,0.7791468259175,155.11906481249997,153.3667220535
MLP,3,0.0,0.995,0.06476420426323228,0.004993350622460797,0.001996225858352618,3.7630027609595952e-06,3.798221277936711e-05,0.004997113625221756,0.005,0.934,0.932,0.9335467380390168,0.92683464139875,174.245953283,0.9262549187075,0.92741436409,173.27066863924998,175.22123792675
MLP,3,0.1,0.946,0.718098286398026,0.05229682990859686,0.028508416692662374,0.0012163383302221757,0.005448795908067396,0.03843084440439519,0.036,0.7929999999999999,0.7848306332842415,0.7874809566793475,0.8446886693200001,164.932868917,0.8389916087500001,0.8503857298899999,165.7939943115,164.0717435225
MLP,3,0.3,0.762,3.538641236950291,0.23618503788524972,0.07423951796920264,0.0013592498171231511,0.006868546416947693,0.03301979359564319,0.032,0.6079999999999999,0.5620879120879121,0.5676489902065349,0.80319557201375,158.26829609612503,0.790860682605,0.8155304614225001,156.35967218075,160.17692001150002
MLP,3,0.5,0.538,7.142654103160949,0.45977949120802,0.07617104344701288,0.0013935223504503247,0.006677973157904825,0.02874772314331802,0.027,0.5229999999999999,0.4688873305282842,0.4757040024156707,0.7788462151025,154.1599138505,0.7695491645075,0.7881432656975,149.9791126575,158.3407150435
MLP,4,0.0,0.987,0.18621044087331018,0.012959535549768813,0.003968901316840975,3.0608079625154197e-05,0.0002351538423521089,0.012990143629393967,0.013,0.918,0.926,0.918577573381292,0.91553765847125,171.893199513875,0.9132380598125,0.91783725713,172.014594957,171.77180407075002
MLP,4,0.1,0.926,1.014540225089493,0.07168699218493532,0.03379370752576238,0.00183562145305263,0.008233349168420263,0.04678096943037561,0.044,0.7750000000000001,0.7753246753246753,0.7730703678044268,0.83485050517125,164.809640586375,0.8320858596375001,0.837615150705,163.43962337525,166.1796577975
MLP,4,0.3,0.679,4.767688871269049,0.3191994072988657,0.1035068443774044,0.0018014788713778818,0.009262532981875108,0.02812457853815673,0.026,0.51,0.5000219298245614,0.4935270719436134,0.7768258632975,154.270496067625,0.7705935741275,0.7830581524675,153.19410432425002,155.346887811
MLP,4,0.5,0.484,8.042352739908965,0.5134162391544558,0.07479575032677215,0.0034181124919192537,0.015367879167460944,0.027966998790746336,0.021,0.475,0.456338899196042,0.4613171802200099,0.7679825547225,152.595652969625,0.7655458539849999,0.7704192554599999,153.38019008650002,151.81111585275
RF,0,0.0,0.999,0.004283732789291749,0.0009726109353065602,0.0009862103909950252,1.3599455688464913e-05,0.00010497852570621753,0.0009862103909950252,0.001,0.873,0.8539999999999999,0.8707133281245533,0.84186939195125,164.379618133375,0.8503511590775,0.8333876248250001,164.71560190875002,164.04363435800002
RF,0,0.1,0.899,1.6233431098216475,0.10150654200237413,0.01019471221296328,0.0006881702105891445,0.0028144711468355704,0.0038052877870367197,0.002,0.764,0.7391485148514851,0.7590685076969258,0.7905470676587499,158.203506527625,0.7948711250099999,0.7862230103075001,158.39592885324998,158.011084202
RF,0,0.3,0.69,4.987468303093425,0.30999842039186665,0.007999209883805232,7.894919385944894e-07,9.280969359475446e-06,7.901161947677882e-07,0.0,0.584,0.5124552913949085,0.5444213941374032,0.7466654672762499,158.099403914375,0.7429564472525,0.7503744873,155.48106382325,160.71774400549998
RF,0,0.5,0.5,8.059047775478778,0.5,0.0,4.9762788076637063e-20,-1.4426951580489627e-09,4.9762788076637063e-20,0.0,0.479,0.3943513745704467,0.4203713705885056,0.736747544895,153.32129458574997,0.7329234179374999,0.7405716718525001,153.33490864699996,153.3076805245
