dataset,n_samples,n_features,prevalence,arch,flip_y,seed,mu_Se,mu_Sp,mu_avg,kappa_avg,f_A,f_B,f_C,acc_cv,f1_cv,recall_cv,recall_inflation,convergence_ok
breast_cancer,569,30,0.6274165202108963,MLP,0.1,3,0.8450239802774999,0.844504390575,0.84476418542625,158.215947216,0.0369068541300527,0.0,0.9630931458699472,0.8136624747709982,0.8473005158754965,0.8647058823529411,0.019681902075441182,False
breast_cancer,569,30,0.6274165202108963,LR,0.2,0,0.7102587384375,0.6435865861875,0.6769226623125,127.014732523625,0.2196836555360281,0.0,0.7803163444639719,0.736283185840708,0.7872117641946684,0.844988344988345,0.13472960655084498,False
breast_cancer,569,30,0.6274165202108963,LR,0.2,1,0.72673895328,0.681151618135,0.7039452857075,115.23171436925,0.2161687170474516,0.0,0.7838312829525483,0.7574289706567303,0.8048198181227605,0.8623699683401176,0.13563101506011754,False
breast_cancer,569,30,0.6274165202108963,LR,0.2,2,0.7001326754849999,0.698830338955,0.69948150722,124.9095139925,0.2056239015817223,0.0,0.7943760984182777,0.7574134451172178,0.7949557145006385,0.8447420634920635,0.14460938800706358,False
breast_cancer,569,30,0.6274165202108963,LR,0.2,3,0.7039591523025,0.65852271305,0.68124093267625,122.638756243125,0.2214411247803163,0.0,0.7785588752196837,0.7433783573979195,0.7914448254402418,0.8442424242424243,0.1402832719399244,False
breast_cancer,569,30,0.6274165202108963,RF,0.2,0,0.8151663369175001,0.77576344303,0.79546488997375,144.848356316875,0.0087873462214411,0.0,0.9912126537785588,0.7626300263934171,0.8000147694297819,0.8267132867132867,0.011546949795786632,False
breast_cancer,569,30,0.6274165202108963,RF,0.2,1,0.8173088835475001,0.7762248554925,0.7967668695200001,136.89625511462498,0.0123022847100175,0.0,0.9876977152899824,0.7662164260208042,0.8044274099718924,0.8264133876074174,0.009104504059917362,False
breast_cancer,569,30,0.6274165202108963,RF,0.2,2,0.8104063528525001,0.8071314069150001,0.80876887988375,142.02548425549998,0.0193321616871704,0.0,0.9806678383128296,0.7680484396832792,0.800213956557109,0.8417162698412698,0.031309916988769726,False
breast_cancer,569,30,0.6274165202108963,RF,0.2,3,0.804119633405,0.77489758264,0.7895086080225,146.118626710125,0.0140597539543057,0.0,0.9859402460456942,0.7539823008849558,0.7961724822507893,0.8351981351981352,0.031078501793135205,False
breast_cancer,569,30,0.6274165202108963,SVM,0.2,0,0.740576629695,0.6874814123999999,0.7140290210475,130.02510059475,0.2021089630931458,0.0,0.7978910369068541,0.7660922217047043,0.8054111433967549,0.841864801864802,0.1012881721698019,False
breast_cancer,569,30,0.6274165202108963,SVM,0.2,1,0.75425212237,0.7354485286725001,0.7448503255212501,123.10201941662498,0.1810193321616871,0.0,0.8189806678383128,0.7855457227138644,0.8243725024975024,0.8653098145635459,0.11105769219354589,False
breast_cancer,569,30,0.6274165202108963,SVM,0.2,2,0.7462342267825,0.745843526955,0.74603887686875,129.551528128625,0.1739894551845342,0.0,0.8260105448154658,0.7855767737928893,0.8201639718378482,0.8827876984126984,0.1365534716301985,False
breast_cancer,569,30,0.6274165202108963,SVM,0.2,3,0.72969086872,0.7012681805450001,0.7154795246325001,131.25328579325,0.2056239015817223,0.0,0.7943760984182777,0.7609843192050924,0.8054537288561512,0.8565501165501166,0.1268592478301166,False
breast_cancer,569,30,0.6274165202108963,GB,0.2,0,0.7995770552725,0.7623169028725001,0.7809469790725001,144.70335585062497,0.070298769771529,0.0,0.929701230228471,0.7380530973451327,0.7755664774713145,0.7932400932400933,-0.0063369620324067455,False
breast_cancer,569,30,0.6274165202108963,GB,0.2,1,0.79656556716,0.758601826185,0.7775836966725,137.92056374774998,0.0984182776801406,0.0,0.9015817223198594,0.7328830926874709,0.7749641496128084,0.7876074174581638,-0.008958149701836282,False
breast_cancer,569,30,0.6274165202108963,GB,0.2,2,0.7913089348225,0.7723096302400001,0.78180928253125,141.79828165487498,0.0808435852372583,0.0,0.9191564147627416,0.7381307250426952,0.7709301894094467,0.7943948412698413,0.0030859064473413023,False
breast_cancer,569,30,0.6274165202108963,GB,0.2,3,0.7852311520575,0.7407505691225001,0.7629908605900001,140.71512079412503,0.0843585237258348,0.0,0.9156414762741651,0.7170625679242354,0.7624463914922041,0.7893706293706293,0.004139477313129247,False
breast_cancer,569,30,0.6274165202108963,MLP,0.2,0,0.8287713629575001,0.81684828475,0.82280982385375,151.171429598625,0.0404217926186291,0.0,0.9595782073813708,0.7011799410029498,0.7508767961411352,0.781072261072261,-0.04769910188523907,False
breast_cancer,569,30,0.6274165202108963,MLP,0.2,1,0.8273114959975,0.8178470621125,0.822579279055,149.40838230375002,0.0456942003514938,0.0,0.954305799648506,0.6924080111783885,0.7430142880356293,0.7545906829488919,-0.07272081304860811,False
breast_cancer,569,30,0.6274165202108963,MLP,0.2,2,0.8267438940125,0.8253779781825001,0.8260609360975001,151.491919898,0.0421792618629174,0.0,0.9578207381370826,0.7187703772706102,0.756446110714743,0.7817460317460319,-0.04499786226646818,False
breast_cancer,569,30,0.6274165202108963,MLP,0.2,3,0.8225864124225,0.812132058605,0.81735923551375,150.68603486575,0.0544815465729349,0.0,0.945518453427065,0.6643688868188169,0.7080518454519592,0.7102097902097902,-0.11237662221270972,False
breast_cancer,569,30,0.6274165202108963,LR,0.3,0,0.6649265241650001,0.59585550524,0.6303910147025,125.548705947625,0.2882249560632688,0.0,0.7117750439367312,0.6625368731563421,0.7179356878928991,0.778125,0.11319847583499987,False
breast_cancer,569,30,0.6274165202108963,LR,0.3,1,0.6586249513775,0.5858778071325,0.622251379255,110.591794683125,0.3057996485061511,0.0,0.6942003514938488,0.6537649433317807,0.7157878680459325,0.78125,0.12262504862250001,False
breast_cancer,569,30,0.6274165202108963,LR,0.3,2,0.6472066090275,0.6229371734424999,0.635071891235,123.10817007600002,0.2882249560632688,0.0,0.7117750439367312,0.6782952957615277,0.7258385213838968,0.7960655737704918,0.14885896474299176,False
breast_cancer,569,30,0.6274165202108963,LR,0.3,3,0.65210201489,0.63923588797,0.64566895143,131.1369300405,0.2899824253075571,0.0,0.7100175746924429,0.6589659990684675,0.7090141591233221,0.7547875064004096,0.10268549151040962,False
breast_cancer,569,30,0.6274165202108963,RF,0.3,0,0.7879806405050002,0.7505097851549999,0.76924521283,138.94586401187496,0.0052724077328646,0.0,0.9947275922671354,0.6782797702220152,0.7229156951891648,0.75625,-0.031730640505000185,False
breast_cancer,569,30,0.6274165202108963,RF,0.3,1,0.7758972474325001,0.736045084285,0.75597116585875,132.24190897962498,0.0017574692442882,0.0,0.9982425307557118,0.6537183667132432,0.7020220612984815,0.73125,-0.04464724743250015,False
breast_cancer,569,30,0.6274165202108963,RF,0.3,2,0.7752684489974999,0.7512614276475,0.7632649383225,143.470040858875,0.0105448154657293,0.0,0.9894551845342706,0.6713088029809036,0.7083675336306914,0.7500546448087432,-0.02521380418875674,False
breast_cancer,569,30,0.6274165202108963,RF,0.3,3,0.77681790861,0.7550265760275,0.76592224231875,151.82435590375,0.0052724077328646,0.0,0.9947275922671354,0.6747865238317032,0.7206921483972742,0.7643113159242192,-0.012506592685780804,False
breast_cancer,569,30,0.6274165202108963,SVM,0.3,0,0.6886140946825,0.6432939426325,0.6659540186574999,127.23037801425,0.2355008787346221,0.0,0.7644991212653779,0.7010867877658749,0.7490075706827437,0.796875,0.10826090531749999,False
breast_cancer,569,30,0.6274165202108963,SVM,0.3,1,0.6704582257475,0.60900248511,0.63973035542875,116.017250337625,0.2653778558875219,0.0,0.7346221441124781,0.6871759043626767,0.7350635628782763,0.78125,0.11079177425249997,False
breast_cancer,569,30,0.6274165202108963,SVM,0.3,2,0.6590260181,0.6369807197749999,0.6480033689375,128.65534876212502,0.2460456942003515,0.0,0.7539543057996485,0.6835739791957771,0.7288354310969218,0.8027868852459017,0.14376086714590164,False
breast_cancer,569,30,0.6274165202108963,SVM,0.3,3,0.6765224417,0.6712569518925,0.67388969679625,140.190836287125,0.2460456942003515,0.0,0.7539543057996485,0.6871138022046266,0.7370624855601785,0.7930875576036867,0.11656511590368668,False
breast_cancer,569,30,0.6274165202108963,GB,0.3,0,0.7601029558600001,0.71401445285,0.7370587043550001,144.493515682125,0.0667838312829525,0.0,0.9332161687170476,0.6871448532836517,0.7250911404170699,0.75,-0.010102955860000096,False
breast_cancer,569,30,0.6274165202108963,GB,0.3,1,0.7391100095550001,0.6742027203025001,0.7066563649287501,127.893391440875,0.0790861159929701,0.0,0.92091388400703,0.6537649433317807,0.699160823689487,0.725,-0.01411000955500008,False
breast_cancer,569,30,0.6274165202108963,GB,0.3,2,0.7358257803475,0.7089118380325,0.72236880919,134.920257424,0.0808435852372583,0.0,0.9191564147627416,0.6274181027790715,0.6633079326705535,0.6943169398907104,-0.0415088404567896,False
breast_cancer,569,30,0.6274165202108963,GB,0.3,3,0.7437812470975,0.70492206586,0.72435165647875,145.10922949012502,0.0843585237258348,0.0,0.9156414762741651,0.6485173109765564,0.6897918152398242,0.7103942652329749,-0.033386981864525156,False
breast_cancer,569,30,0.6274165202108963,MLP,0.3,0,0.8168997836599999,0.79714290831,0.807021345985,147.47693611674998,0.0351493848857645,0.0,0.9648506151142356,0.5940381928272007,0.6339700060191426,0.634375,-0.1825247836599999,False
breast_cancer,569,30,0.6274165202108963,MLP,0.3,1,0.8104281852725,0.7798589801200001,0.7951435826962501,138.77777097837495,0.0175746924428822,0.0,0.9824253075571178,0.5607048594938674,0.6037449872071188,0.60625,-0.2041781852725001,False
breast_cancer,569,30,0.6274165202108963,MLP,0.3,2,0.7997093470025,0.79892149107,0.7993154190362499,142.04399625999997,0.0439367311072056,0.0,0.9560632688927944,0.5940226672876883,0.6233520073816651,0.628415300546448,-0.17129404645605195,False
breast_cancer,569,30,0.6274165202108963,MLP,0.3,3,0.80272375215,0.80523878614,0.803981269145,149.265287378,0.0351493848857645,0.0,0.9648506151142356,0.6273560006210216,0.6639691722584796,0.6687660010240655,-0.13395775112593455,False
phoneme,2000,5,0.2935,LR,0.0,0,0.521868239985,0.8122922432549999,0.6670802416199999,159.43011707825,0.23,0.0,0.77,0.7589999999999999,0.5442702464010087,0.4923366652180211,-0.029531574766978874,False
phoneme,2000,5,0.2935,LR,0.0,1,0.52078185764,0.8113824927250001,0.6660821751825,160.96241949,0.23,0.0,0.77,0.7589999999999999,0.5442702464010087,0.4923366652180211,-0.02844519242197885,False
phoneme,2000,5,0.2935,LR,0.0,2,0.5254672498699999,0.8151730576674999,0.67032015376875,160.02215518600002,0.23,0.0,0.77,0.7589999999999999,0.5442702464010087,0.4923366652180211,-0.03313058465197882,False
phoneme,2000,5,0.2935,LR,0.0,3,0.5227897539324999,0.8102196478625,0.6665047008975,160.30937928474998,0.2295,0.0,0.7705,0.7589999999999999,0.5442702464010087,0.4923366652180211,-0.030453088714478826,False
phoneme,2000,5,0.2935,RF,0.0,0,0.8121934998024999,0.918394251555,0.8652938756787499,168.554978150625,0.014,0.0,0.986,0.884,0.7986496356341604,0.7836882514848617,-0.028505248317638232,False
phoneme,2000,5,0.2935,RF,0.0,1,0.8121242669250001,0.917823736205,0.864974001565,167.661188530625,0.014,0.0,0.986,0.884,0.7986496356341604,0.7836882514848617,-0.028436015440138407,False
phoneme,2000,5,0.2935,RF,0.0,2,0.8125934718625001,0.917754736645,0.86517410425375,167.315929451625,0.014,0.0,0.986,0.884,0.7986496356341604,0.7836882514848617,-0.02890522037763843,False
phoneme,2000,5,0.2935,RF,0.0,3,0.8124080469225,0.9181695800375,0.86528881348,167.39730842175,0.014,0.0,0.986,0.884,0.7986496356341604,0.7836882514848617,-0.028719795437638362,False
phoneme,2000,5,0.2935,SVM,0.0,0,0.6667133240550001,0.8531717843675,0.75994255421125,151.503120919375,0.1465,0.0,0.8535,0.8275,0.7165907650316752,0.7428364479211936,0.07612312386619358,False
phoneme,2000,5,0.2935,SVM,0.0,1,0.6631885195950001,0.8511897794100001,0.7571891495025,151.50742897175002,0.1465,0.0,0.8535,0.8275,0.7165907650316752,0.7428364479211936,0.0796479283261935,False
phoneme,2000,5,0.2935,SVM,0.0,2,0.6625776714,0.8545348218825001,0.7585562466412501,150.80307943937504,0.148,0.0,0.852,0.8275,0.7165907650316752,0.7428364479211936,0.08025877652119362,False
