channel,pi_01,pi_10,arch,seed,mu_Se,mu_Sp,mu_avg,asym_score,kappa_Se,kappa_Sp,f_A,f_A_class0,f_A_class1,f_B,f_C,cv_acc,cv_f1,cv_recall,convergence_ok,rhat_max,ess_min
sym_low,0.1,0.1,GB,3,0.8117644846925,0.81691452312,0.81433950390625,0.0031620954157535602,151.95728364375,151.436437139,0.084,0.08316831683168317,0.08484848484848485,0.0,0.916,0.842,0.8395957421845373,0.8404040404040405,False,,
sym_low,0.1,0.1,MLP,0,0.8466576644024999,0.8379953570775,0.84232651074,-0.005141894033614147,166.3586188785,164.43190385225,0.047,0.038539553752535496,0.055226824457593686,0.0,0.953,0.7949999999999999,0.7959056032323792,0.7890312560667831,False,,
sym_low,0.1,0.1,MLP,1,0.8480417413,0.850580551015,0.8493111461575,0.0014946287500120373,166.1695734115,167.66973151475,0.041,0.03187250996015936,0.050200803212851405,0.0,0.959,0.829,0.8274920526991856,0.8232727272727273,False,,
sym_high,0.2,0.2,LR,0,0.64505859225,0.5992747255499999,0.6221666588999999,-0.03679389276834014,148.50060636874997,145.08543166675,0.304,0.2851153039832285,0.32122370936902483,0.0,0.696,0.669,0.6850983128171719,0.6882967032967034,False,,
sym_high,0.2,0.2,LR,1,0.68321858099,0.6942390514225,0.6887288162062499,0.008000587579015393,146.72396938249997,137.6439788425,0.222,0.22845691382765532,0.2155688622754491,0.0,0.778,0.7610000000000001,0.7618175793717222,0.7624554455445545,False,,
sym_high,0.2,0.2,LR,2,0.6846886664275,0.6369243503,0.66080650836375,-0.03614092437560144,129.80287477275,147.0068108415,0.234,0.1979381443298969,0.26796116504854367,0.0,0.766,0.736,0.7399037208324574,0.7300970873786408,False,,
sym_high,0.2,0.2,LR,3,0.6502108304175,0.680912654445,0.6655617424312501,0.0230645949482341,136.01886246549998,142.21984357075002,0.234,0.23563218390804597,0.23221757322175732,0.0,0.766,0.74,0.7257143446146582,0.7196271929824561,False,,
sym_high,0.2,0.2,RF,0,0.7897062233474998,0.7733699741125001,0.78153809873,-0.010451345398960612,160.386850489,156.29670311375,0.006,0.010482180293501049,0.0019120458891013384,0.0,0.994,0.741,0.7524879899192298,0.7533516483516483,False,,
sym_high,0.2,0.2,RF,1,0.7959051468724999,0.80121139006,0.79855826846625,0.003322389482215931,160.293696371,154.59729744350003,0.007,0.006012024048096192,0.007984031936127744,0.0,0.993,0.789,0.7918552424173043,0.8003564356435644,False,,
sym_high,0.2,0.2,RF,2,0.7976697557425,0.794366645225,0.7960182004837499,-0.00207477072346956,154.25346281,158.59383127149997,0.009,0.018556701030927835,0.0,0.0,0.991,0.7590000000000001,0.763359436237219,0.7553398058252427,False,,
sym_high,0.2,0.2,RF,3,0.7871577156075,0.8032048993099999,0.7951813074587499,0.010090267176735723,152.64767231750002,158.89830375825,0.007,0.011494252873563218,0.0020920502092050207,0.0,0.993,0.767,0.7547806192908726,0.7489254385964912,False,,
sym_high,0.2,0.2,SVM,0,0.7368777032475,0.6895348718375001,0.7132062875425,-0.03319013881659635,141.95408832049998,149.25642007825,0.212,0.19916142557651992,0.2237093690248566,0.0,0.788,0.7590000000000001,0.7629326643103965,0.7418315018315018,False,,
sym_high,0.2,0.2,SVM,1,0.72942055146,0.7460569340725,0.73773874276625,0.011275253444630281,154.98151651474998,139.49617768874998,0.192,0.20440881763527055,0.17964071856287425,0.0,0.808,0.789,0.7922843239586569,0.8023762376237624,False,,
sym_high,0.2,0.2,SVM,2,0.72875200348,0.7059089448525,0.7173304741662501,-0.015922269744728282,137.43746172075,143.20963302925,0.193,0.18762886597938144,0.19805825242718447,0.0,0.8069999999999999,0.772,0.7757360725193522,0.7669902912621359,False,,
sym_high,0.2,0.2,SVM,3,0.7163635852550001,0.7341428849374999,0.72525323509625,0.012257304628143416,138.27722837775,144.26542486425,0.195,0.19923371647509577,0.1903765690376569,0.0,0.8049999999999999,0.775,0.7660727029548081,0.7719078947368422,False,,
sym_high,0.2,0.2,GB,0,0.7358998741299999,0.6828481843499998,0.7093740292399999,-0.03739331266429686,150.87037904324998,155.0179983405,0.127,0.1090146750524109,0.14340344168260039,0.0,0.873,0.697,0.7079146322673846,0.7035164835164835,False,,
sym_high,0.2,0.2,GB,1,0.7590930649150001,0.7428025737150001,0.7509478193150001,-0.01084661994492052,150.43397716075,157.5846338095,0.134,0.12424849699398798,0.1437125748502994,0.0,0.866,0.7689999999999999,0.7704646206669128,0.7724158415841584,False,,
