class_sep,flip_y,seed,E1,E2,E4,E5,E1_err,E2_err,E4_err,E5_err,type_C_frac
1.5,0.35,0,0.307,0.30193248407074635,0.009,0.18599999999999997,0.04299999999999998,0.048067515929253624,0.34099999999999997,0.164,0.692
1.5,0.35,1,0.196,0.19200003167106353,0.005,0.1184,0.15399999999999997,0.15799996832893645,0.345,0.23159999999999997,0.803
1.5,0.35,2,0.251,0.2470028381919253,0.007,0.1522,0.09899999999999998,0.10299716180807467,0.34299999999999997,0.19779999999999998,0.747
1.5,0.35,3,0.233,0.23000002086390003,0.006,0.14040000000000002,0.11699999999999997,0.11999997913609994,0.344,0.20959999999999995,0.764
1.5,0.35,4,0.251,0.2470000005547035,0.012,0.153,0.09899999999999998,0.10299999944529648,0.33799999999999997,0.19699999999999998,0.748
1.5,0.35,5,0.214,0.20816462952134224,0.007,0.12819999999999998,0.13599999999999998,0.14183537047865774,0.34299999999999997,0.2218,0.785
1.5,0.4,0,1.0,0.30300312743856295,1.0,0.5848,0.6,0.09699687256143708,0.6,0.18479999999999996,0.0
1.5,0.4,1,1.0,0.21900231492176422,1.0,0.532,0.6,0.1809976850782358,0.6,0.132,0.0
1.5,0.4,2,0.271,0.26200262965773413,0.013,0.1642,0.129,0.1379973703422659,0.387,0.2358,0.727
1.5,0.4,3,0.263,0.2509999978909919,0.012,0.1566,0.137,0.1490000021090081,0.388,0.24340000000000003,0.735
1.5,0.4,4,0.266,0.26399998857170665,0.003,0.1602,0.134,0.13600001142829338,0.397,0.2398,0.732
1.5,0.4,5,0.234,0.2279999953103327,0.005,0.1394,0.166,0.17200000468966734,0.395,0.26060000000000005,0.764
1.5,0.5,0,0.337,0.33400000791312884,0.009,0.204,0.16299999999999998,0.16599999208687116,0.491,0.29600000000000004,0.656
1.5,0.5,1,0.281,0.27003053465789606,0.009,0.168,0.21899999999999997,0.22996946534210394,0.491,0.33199999999999996,0.717
1.5,0.5,2,0.307,0.2999755402382316,0.022,0.1888,0.193,0.20002445976176841,0.478,0.31120000000000003,0.69
1.5,0.5,3,0.322,0.3160001948828675,0.01,0.1954,0.178,0.1839998051171325,0.49,0.3046,0.674
