sep,B,flip_y,seed,E1_err,E2_err,E4_err,E5_err,mu_Se_std
2.0,10,0.1,2,0.07300000000000001,0.07299999504102808,0.098,0.083,0.01579577221785549
2.0,10,0.1,3,0.069,0.06900004172124655,0.098,0.0806,0.016445363424252946
2.0,10,0.1,4,0.07700000000000001,0.0780007921753209,0.097,0.08560000000000001,0.016028910995390406
2.0,10,0.2,0,0.165,0.16796757542035196,0.195,0.17880000000000001,0.017059498241848315
2.0,10,0.2,1,0.165,0.16682127014677117,0.195,0.17820000000000003,0.01741201185790927
2.0,10,0.2,2,0.165,0.16696846822420308,0.19,0.17620000000000002,0.016845807844857476
2.0,10,0.2,3,0.164,0.10249213855529979,0.193,0.1768,0.01616602008305151
2.0,10,0.2,4,0.161,0.1689999924231698,0.193,0.1768,0.01797150037454764
2.0,10,0.3,0,0.262,0.26449099759427075,0.288,0.2742,0.01931921350109533
2.0,10,0.3,1,0.247,0.2526227666294165,0.27999999999999997,0.2656,0.01883022455293812
2.0,10,0.3,2,0.261,0.2632404243756667,0.287,0.2756,0.01857561198120555
2.0,10,0.3,3,0.256,0.2591175733557166,0.283,0.2746,0.018472068774209364
2.0,10,0.3,4,0.266,0.2709901395112672,0.291,0.27899999999999997,0.01907108422479649
2.0,10,0.4,0,0.373,0.3217509005984882,0.39,0.3834,0.018893349713346556
2.0,10,0.4,1,0.35000000000000003,0.3549320819556731,0.381,0.36600000000000005,0.019598264797494845
2.0,10,0.4,2,0.36100000000000004,0.3574810317313578,0.385,0.3748,0.019868066964517865
2.0,10,0.4,3,0.365,0.36525648845569153,0.389,0.377,0.01931472448381751
2.0,10,0.4,4,0.35000000000000003,0.24626359222176802,0.376,0.3688,0.019273919898108616
2.0,15,0.1,0,0.083,0.06985487349568885,0.096,0.08940000000000001,0.010003232375652732
2.0,15,0.1,1,0.079,0.07903405094984553,0.098,0.0872,0.00983302950843739
2.0,15,0.1,2,0.07400000000000001,0.07500000429171658,0.097,0.08380000000000001,0.010298545719112323
2.0,15,0.1,3,0.07100000000000001,0.07100000852156922,0.098,0.08180000000000001,0.00964856909698618
2.0,15,0.1,4,0.081,0.08199999641862823,0.099,0.0888,0.00994735454596422
2.0,15,0.2,0,0.167,0.1700458913807648,0.193,0.17980000000000002,0.011222548615209344
2.0,15,0.2,1,0.166,0.1700180104825645,0.194,0.18020000000000003,0.011262761104299305
2.0,15,0.2,2,0.17400000000000002,0.1660788003479694,0.19,0.18280000000000002,0.010702524682484168
2.0,15,0.2,3,0.166,0.1689999909281038,0.197,0.1796,0.010095249707835445
2.0,15,0.2,4,0.17,0.17000563776268185,0.197,0.1814,0.011771285187820257
2.0,15,0.3,0,0.27099999999999996,0.27106929862389423,0.289,0.28059999999999996,0.012747681149349186
2.0,15,0.3,1,0.26,0.26436979691795376,0.291,0.2766,0.012364273255759247
2.0,15,0.3,2,0.27399999999999997,0.27567806709724185,0.291,0.2844,0.012435227608180336
2.0,15,0.3,3,0.26,0.2602834501754948,0.282,0.2724,0.012096398094533842
2.0,15,0.3,4,0.27499999999999997,0.27604124494704574,0.294,0.2838,0.01250672383154161
2.0,15,0.4,0,0.372,0.3730432269392918,0.389,0.38120000000000004,0.013110257645299623
2.0,15,0.4,1,0.36400000000000005,0.36435126237845344,0.382,0.3778,0.012307984800809064
2.0,15,0.4,2,0.373,0.37599282163799586,0.392,0.3824,0.01246517651021918
2.0,15,0.4,3,0.372,0.37424764307068453,0.389,0.38180000000000003,0.013571715924249841
2.0,15,0.4,4,0.37,0.3708554735000276,0.386,0.377,0.013186851668015186
2.0,25,0.1,0,0.084,0.08400000388000192,0.1,0.09040000000000001,0.005875760169593978
2.0,25,0.1,1,0.08,0.08000000180597167,0.1,0.08800000000000001,0.005885933383009249
2.0,25,0.1,2,0.07100000000000001,0.07299998470942315,0.096,0.08220000000000001,0.005901191920867393
2.0,25,0.1,3,0.07100000000000001,0.07100000006627881,0.098,0.08180000000000001,0.005749560756278147
2.0,25,0.1,4,0.081,0.08199999610625128,0.098,0.0884,0.0061097113679812135
2.0,25,0.2,0,0.17800000000000002,0.11781650594340494,0.199,0.187,0.0069495913497220445
2.0,25,0.2,1,0.17400000000000002,0.17416046479636674,0.196,0.1834,0.0066515018967940355
2.0,25,0.2,2,0.17300000000000001,0.17301533963855664,0.196,0.18280000000000002,0.006580858523899096
2.0,25,0.2,3,0.17200000000000001,0.1750000069975657,0.195,0.183,0.0063119918856438684
2.0,25,0.2,4,0.17400000000000002,0.1740000683938484,0.198,0.1836,0.007116772160238702
2.0,25,0.3,0,0.27899999999999997,0.2800000027916686,0.299,0.28759999999999997,0.007595435645637778
2.0,25,0.3,1,0.27499999999999997,0.277995941832427,0.295,0.2854,0.007523382039176548
2.0,25,0.3,2,0.27599999999999997,0.2761062886485217,0.292,0.2854,0.007797206243552401
2.0,25,0.3,3,0.27399999999999997,0.2759999921244883,0.299,0.2852,0.007768221599823024
2.0,25,0.3,4,0.27399999999999997,0.2749206912303217,0.289,0.2812,0.007583798699675995
2.0,25,0.4,0,0.394,0.39399999885589665,0.399,0.396,0.007934254048230718
2.0,25,0.4,1,0.374,0.37551887338479506,0.389,0.3836,0.007958456851416737
2.0,25,0.4,2,0.378,0.3799853178847454,0.394,0.3856,0.0075662704342799305
2.0,25,0.4,3,0.383,0.38300993411412043,0.394,0.3886,0.007947927417859114
2.0,25,0.4,4,0.38,0.37910534308468374,0.394,0.38620000000000004,0.007929244909128498
2.0,50,0.1,0,0.08700000000000001,0.08799999892435775,0.099,0.09240000000000001,0.0031254080520749846
2.0,50,0.1,1,0.08,0.07999999668219385,0.099,0.08760000000000001,0.0028740704228106414
2.0,50,0.1,2,0.07700000000000001,0.07800000138005214,0.098,0.08600000000000001,0.003123504435864965
2.0,50,0.1,3,0.07600000000000001,0.07599999430873057,0.1,0.08560000000000001,0.00296402368652776
2.0,50,0.1,4,0.083,0.02774563245722743,0.1,0.0898,0.003139363132277153
2.0,50,0.2,0,0.18000000000000002,0.17999999540756523,0.199,0.18760000000000002,0.0034947006320984876
2.0,50,0.2,1,0.17300000000000001,0.1730000437598445,0.198,0.18300000000000002,0.0034923345738351974
2.0,50,0.2,2,0.17500000000000002,0.1750000131137316,0.198,0.1842,0.003493793577889603
2.0,50,0.2,3,0.17300000000000001,0.17499999480141848,0.198,0.1842,0.0033149373652832216
2.0,50,0.2,4,0.17500000000000002,0.17700000346730108,0.197,0.185,0.003662208456077039
2.0,50,0.3,0,0.289,0.29099999749166827,0.299,0.2942,0.004062359423913155
2.0,50,0.3,1,0.285,0.287000005620164,0.299,0.2918,0.003813293378007622
2.0,50,0.3,2,0.27999999999999997,0.2819999986881043,0.298,0.2884,0.004015519303931128
2.0,50,0.3,3,0.27699999999999997,0.2781648612544424,0.294,0.285,0.004131723385444065
2.0,50,0.3,4,0.282,0.28200862974925034,0.298,0.289,0.004024897848588037
2.0,50,0.4,0,0.389,0.3920000011398987,0.397,0.394,0.004098595067288777
2.0,50,0.4,1,0.384,0.38424450168914,0.394,0.3904,0.00409800455522558
2.0,50,0.4,2,0.387,0.3870472768726554,0.396,0.39120000000000005,0.004152348445547625
2.0,50,0.4,3,0.389,0.3891219278089993,0.396,0.393,0.004172672308741777
2.0,50,0.4,4,0.389,0.39093930562377927,0.397,0.3934,0.004222431512921446
2.0,75,0.1,0,0.08600000000000001,0.08599999725242868,0.1,0.0916,0.002187850071426238
2.0,75,0.1,1,0.07800000000000001,0.07899999609879496,0.1,0.0874,0.0020840366345700515
2.0,75,0.1,2,0.07500000000000001,0.07500000185576536,0.099,0.08460000000000001,0.0021807277754033257
2.0,75,0.1,3,0.07700000000000001,0.0769999999882141,0.1,0.0862,0.0021174991690409684
2.0,75,0.1,4,0.085,0.08500023296847643,0.099,0.09060000000000001,0.002143001152805948
2.0,75,0.2,0,0.18000000000000002,0.1810000003101836,0.2,0.18860000000000002,0.0024995076938881342
2.0,75,0.2,1,0.17500000000000002,0.175999997266075,0.198,0.18480000000000002,0.0024078599506893133
2.0,75,0.2,2,0.17600000000000002,0.17599999755136833,0.197,0.1844,0.002394584317768891
2.0,75,0.2,3,0.17,0.1729999997671002,0.198,0.18300000000000002,0.0023002355489130503
