arch,flip_y,seed,mu_Se,mu_Se_std,mu_Sp,mu_Sp_std,mu_avg,kappa_Se,kappa_Se_std,kappa_Sp,kappa_Sp_std,kappa_avg,kappa_avg_std,kappa_obs,kappa_obs_std,cv_recall,cv_f1,cv_acc
MLP,0.0,1,0.931255306455,0.0033659521457305194,0.9353641267925,0.003296066587093977,0.9333097166237501,175.71736187974997,41.21757790529832,174.98120846499998,42.354503013591874,175.34928517237498,28.771452712860132,2.3272761972500002,0.026863723170888046,0.9540000000000001,0.9454408288137239,0.945
MLP,0.0,2,0.929661689125,0.00349897688353642,0.9319485064299999,0.003489685818137753,0.9308050977775,174.63864749325,41.90128563717221,175.15538378649998,42.135112549370675,174.897015639875,29.72784183196979,2.264108224125,0.02617709356434974,0.9259999999999999,0.9352396952183819,0.9359999999999999
MLP,0.0,3,0.9262549187075,0.0036202899012442234,0.9274143640899999,0.003470744521470202,0.9268346413987499,173.27066863924998,42.42352201222076,175.22123792675,41.30674818828292,174.245953283,29.17490508114352,2.10641841255,0.02399567749825065,0.932,0.9335467380390167,0.9339999999999999
MLP,0.0,4,0.9132380598125,0.003865054727409619,0.91783725713,0.00378947656888569,0.91553765847125,172.01459495699999,42.26665928749223,171.77180407075002,40.89716727933503,171.893199513875,29.440836439122975,1.8474529197249998,0.020648782078471685,0.9259999999999999,0.9185775733812921,0.9180000000000001
LR,0.1,0,0.607207941695,0.007032400533997337,0.6053953837075,0.0070789396739226055,0.6063016627012501,147.139753922,35.03263926878075,141.9617305305,34.89948577428581,144.55074222625,24.189063191501766,8.85995351965,0.06357565286426903,0.6673465346534653,0.6545369282918797,0.647
LR,0.1,1,0.6925914174725,0.006639809467105335,0.736373819145,0.006981008710211772,0.71448261830875,152.40798645575,35.54967104921612,124.00993552025,30.046253703245267,138.208960988,23.16071205350514,3.817637335975,0.026985228805144177,0.8108686868686871,0.7969575770995657,0.7949999999999999
LR,0.1,2,0.68172853632,0.0074662791090405745,0.674264097795,0.006883936664640919,0.6779963170575,130.15248059375,31.45568635942802,146.08191991675,33.83169208097717,138.11720025524997,23.151874491410762,4.5029622135250005,0.031679834761226176,0.7155151515151514,0.7289477185689226,0.735
LR,0.1,3,0.6963820963925,0.006728164512521221,0.7338000301,0.006527052239585333,0.71509106324625,144.73344126375002,35.26591936702996,146.2377348845,33.893181157345595,145.485588074125,24.605905930901223,3.8118653597250005,0.026650602286164855,0.774647590995161,0.7717542117638713,0.776
LR,0.1,4,0.64066078108,0.007431937967058321,0.6890140453275,0.006916035718323068,0.66483741320375,134.92145241174998,31.745177503158548,144.0249816965,33.42285908618175,139.47321705412497,22.894003953104807,4.695168165925,0.032976093589088235,0.7612038754895898,0.7422033928897004,0.7390000000000001
RF,0.1,0,0.7948711250099999,0.005684877983279118,0.7862230103075001,0.005853638625641206,0.7905470676587499,158.39592885324998,37.35426698442667,158.011084202,37.14700005244782,158.203506527625,26.65844298657119,3.776663283025,0.028472673393017456,0.7391485148514851,0.7590685076969258,0.764
RF,0.1,1,0.8048730160625001,0.00539812082094386,0.8097200148100001,0.005679581588276026,0.80729651543625,163.67929055475003,38.52676341490478,157.50175292075,37.32991419603151,160.59052173774998,26.86860813180164,3.59676096325,0.02727865174370811,0.8189090909090909,0.8076061540526311,0.806
RF,0.1,2,0.81046659629,0.005562926518545655,0.81976453985,0.00541257326578024,0.81511556807,156.34875207400003,37.12041452328841,157.7549379575,36.98591295200337,157.05184501575002,26.695979800066535,3.529695357175,0.027597449617064045,0.8036565656565656,0.8044972575521774,0.805
RF,0.1,3,0.8155553426675001,0.005415869109056787,0.8285494526275,0.005202436629033435,0.8220523976474999,164.45694415825,38.401052119938015,164.086624739,38.19380836806977,164.271784448625,27.385657230573393,3.428011020925,0.02674060295451441,0.8135914159478224,0.8143402987156325,0.819
RF,0.1,4,0.7979877741125001,0.005747625754208086,0.80730813987,0.005516572217962793,0.80264795699125,155.04315770625,36.78036564438814,156.579867182,36.975942583639586,155.811512444125,26.065100296636803,3.6384355289999997,0.027354757787519963,0.8137497423211709,0.7950124463876133,0.793
SVM,0.1,0,0.7573884791450001,0.006384327946400684,0.7406933244324999,0.006339404940269924,0.74904090178875,142.01512428774998,34.38289307929426,153.933112607,35.34301788556899,147.97411844737502,24.68365095187558,4.2234736448,0.029877466446378835,0.7689900990099009,0.7910334010205144,0.796
SVM,0.1,1,0.746407881725,0.006091398269307344,0.784716850635,0.005983961801100058,0.7655623661800001,155.88702909775,36.52675240344147,142.42991254574997,34.29159371156817,149.15847082175,25.27029597599401,3.7342688655500003,0.0270992954747887,0.8652727272727272,0.8301303062957617,0.8240000000000001
SVM,0.1,2,0.7667636077,0.0063570473431629375,0.7829425603450001,0.006018658182199079,0.7748530840225,147.57470966925,35.39982152054885,148.691424743,35.479309159572,148.13306720612502,25.21811550216125,3.90950040465,0.02774310416976016,0.8477171717171716,0.8319779454326669,0.829
SVM,0.1,3,0.7923919453799999,0.005769201725461686,0.8095303886725,0.005521775124227579,0.80096116702625,158.70152298575,37.39686037350443,156.115289361,38.0247791127126,157.40840617337503,26.988574099730528,3.680078134175,0.02766610186919571,0.8586366505365033,0.8472749681899927,0.849
SVM,0.1,4,0.7814255962375001,0.006191941767796227,0.791699062745,0.006525015315714732,0.78656232949125,140.921278884,34.35872636307208,129.5749590025,30.363456511980324,135.24811894325,22.852612603782354,4.355567129625,0.03147705949705817,0.8441970727685014,0.8281641176125316,0.827
GB,0.1,0,0.730816611855,0.006606127148411496,0.7087541721499999,0.006395690261854751,0.7197853920025,142.13763971575,33.623928053217554,160.78758341725,38.26945718904515,151.46261156650002,25.148245751538106,5.3344982103000005,0.03855181940495647,0.7191683168316831,0.7413832319343506,0.748
GB,0.1,1,0.766295449985,0.005795636239348248,0.7792180680025,0.006031952843123177,0.7727567589937501,161.73268660475,38.42314784386979,149.58008930775,36.43180752048777,155.65638795625,26.913138605131447,4.737512935450001,0.03407073069575444,0.8228888888888889,0.8032259392818524,0.8
GB,0.1,2,0.7662569264575,0.006135449231436662,0.7837236855224999,0.0059157303582587865,0.7749903059900001,146.80545045399998,34.57297720695802,154.85192399650003,36.97295946905601,150.82868722525,25.445878860666152,4.4060403024,0.0320371872863481,0.7855959595959596,0.7872774709467987,0.789
GB,0.1,3,0.782857954485,0.0058805535464883435,0.8022880880675,0.005593360974099615,0.7925730212762501,154.2823805495,36.85199435250672,159.16432237450002,37.85686791424258,156.72335146199998,27.186374257869822,4.338414401725,0.03224079247503881,0.8156953503050705,0.807579288726745,0.8100000000000002
GB,0.1,4,0.7467777555625,0.006352712286879713,0.7601052248125,0.006263697875565134,0.7534414901875,147.77212555600002,34.63078123808122,144.375370131,35.03253902122847,146.0737478435,24.843245616231446,4.703938332275,0.03331385701704556,0.7530818387961244,0.7461947544534921,0.7470000000000001
MLP,0.1,0,0.83013773139,0.005169686928314051,0.8320925498,0.005342160610809999,0.8311151405949999,162.5732668555,38.08573363901942,163.5271010965,39.86413818800438,163.050183976,27.460135493886177,1.00028742835,0.00029301577514065467,0.745128712871287,0.7578563559969413,0.761
MLP,0.1,1,0.8351999876124999,0.0051834707961367086,0.8318374697875001,0.005209273931200348,0.8335187287,163.94605282725,38.60471138785868,163.65987110749998,39.51942942208373,163.802961967375,27.523426594297142,1.00022314475,0.00021895275296839089,0.7686666666666667,0.7549367364227096,0.7520000000000001
MLP,0.1,2,0.8396258915450001,0.00520413996830711,0.8389832682249999,0.0051136116168811405,0.8393045798850001,165.51902270550002,38.80600943506937,163.746366797,38.30772500593194,164.63269475125,27.50374692580887,1.00032591305,0.000327198523047855,0.7715151515151515,0.7706530184321352,0.771
MLP,0.1,3,0.8389916087500001,0.005058539205034328,0.8503857298899999,0.004927832304785476,0.8446886693200001,165.7939943115,39.347301598363714,164.0717435225,39.593104927769694,164.932868917,27.85715242101294,1.0006757058500002,0.0006639291555134311,0.7848306332842415,0.7874809566793475,0.7929999999999999
MLP,0.1,4,0.8320858596375001,0.005261304275690324,0.837615150705,0.005130477062911802,0.83485050517125,163.43962337525,38.70418204212592,166.1796577975,39.387744504491714,164.809640586375,27.96508224624151,1.000302101575,0.00029188599119351233,0.7753246753246753,0.7730703678044268,0.7750000000000001
LR,0.3,0,0.5137360769950001,0.031725673756779545,0.5353565460100002,0.030257057639665668,0.5245463115025,150.46048385950002,35.357967576595826,154.08464749175002,36.06096364762432,152.272565675625,25.047664426652766,23.97939384275,1.013789288124142,0.487649905322954,0.5063463539142515,0.542
LR,0.3,1,0.5686456911375,0.007250691243271218,0.6205771903799999,0.00742964325369128,0.5946114407587499,141.91271558050002,33.55094593630641,141.666194805,33.98010748198404,141.78945519275,23.70477425603019,10.86392427475,0.07968662595656664,0.5741545352743561,0.5885906331446332,0.6250000000000001
LR,0.3,2,0.5733927575075001,0.0069119724686023285,0.5882548052350001,0.007182192411501138,0.5808237813712499,152.930456908,35.78818749969785,148.6009730605,34.94407425206112,150.76571498425,24.853975152395716,11.925035916,0.08510317972924071,0.5872121212121213,0.5853603374945822,0.5860000000000001
LR,0.3,3,0.5660224025474999,0.007454196225021271,0.646164292145,0.006707637886135741,0.60609334734625,144.153793098,33.41645325519078,156.43095561200002,36.680376271098936,150.29237435500002,24.837074915693297,8.6868346179,0.0631720843390287,0.5839703774486383,0.6032583695374393,0.6479999999999999
LR,0.3,4,0.5166445861375,0.039789173388618,0.5539276649725,0.03740297195947548,0.535286125555,138.87551641175,32.88064026440581,144.54332626125,33.882668666800704,141.70942133650001,23.29845707477426,17.8368679365,1.2920157933351688,0.49160087719298246,0.5206532297220027,0.5680000000000001
