noise,Classic Accuracy (RF),Classic Recall (RF),Classic Precision (RF),BTD Latent Se (RF),BTD Latent Sp (RF),BTD kappa_Se (RF),BTD kappa_Sp (RF),Classic Accuracy (LR),Classic Recall (LR),Classic Precision (LR),BTD Latent Se (LR),BTD Latent Sp (LR),BTD kappa_Se (LR),BTD kappa_Sp (LR)
0.3103448275862069,0.7566666666666667,0.7468935757913661,0.7691762225283868,0.7954150657299999,0.7899760059200001,220.1636540425,219.97896709999998,0.6828888888888891,0.6732343000559582,0.6942562654316936,0.631487736225,0.6094742895775,206.9296794175,200.863896712
0.3413793103448276,0.7521111111111111,0.7413637016558823,0.7604018239688677,0.7935605450075,0.7843289868125001,217.030469126,215.757641243,0.6753333333333333,0.6682858256526915,0.6813825795633454,0.6149109405975001,0.58999625968,193.3245705675,196.15675830450002
0.37241379310344824,0.7283333333333334,0.7297121815344688,0.7290043505979394,0.780283455355,0.7799733064075001,215.63268517775,214.89485920500002,0.6474444444444444,0.6518956062299329,0.6476390366974485,0.600581847105,0.59022278256,195.23808987924997,198.1565132845
0.40344827586206894,0.7163333333333334,0.6922310395623803,0.7346991047762351,0.7776078454975,0.7752300769975,214.30675269649998,216.8434129445,0.6656666666666667,0.642573910673427,0.6827848338399803,0.601123480515,0.5877023041125,193.26198801575,203.383480454
0.43448275862068964,0.6874444444444445,0.6744656585587538,0.7084282431584888,0.7693445725099999,0.7643437387900001,208.41647732074998,209.02779178575003,0.6246666666666665,0.6170262207739934,0.644515152130259,0.585157556145,0.56514550532,164.21592155375,195.113216709
0.46551724137931033,0.6607777777777778,0.6615181403436938,0.6688706919874629,0.7671198986925,0.7559970932325,218.88665131125,214.8099368575,0.6216666666666667,0.6169238752905281,0.6319216523912724,0.5827927192350001,0.562737135145,211.10707394174997,199.4915250365
0.496551724137931,0.6553333333333334,0.6622634309336365,0.6616259764172852,0.7670224722000001,0.7608253466374999,210.905397364,211.93052780074999,0.6233333333333332,0.6221671635835496,0.6328907124059012,0.5827061255624999,0.560609218365,186.31784656625,204.35193924074997
0.5275862068965517,0.654111111111111,0.6631641044895549,0.6662371542678633,0.764978742845,0.75876358843,218.8999619585,224.125477442,0.6225555555555555,0.6242403953347849,0.6373553936253689,0.5771537178549999,0.5569861044750001,204.406701695,215.997565995
0.5586206896551724,0.623888888888889,0.6167885942379405,0.6369229093055402,0.75994743085,0.756870732305,217.801846895,218.78306508425,0.61,0.5892461076577585,0.6266213931868996,0.571519604195,0.55895869459,191.005930468,201.75885460249998
0.5896551724137931,0.6008888888888889,0.6228188337898682,0.5998151875979926,0.7561937798799999,0.7493993399225001,213.30048692475,203.16820276225,0.594,0.6082023135362096,0.5943039920462397,0.5585227695425,0.54241674311,198.76407432300002,196.1785737335
0.6206896551724138,0.557111111111111,0.5547440438114325,0.5668161672779252,0.75016580761,0.7459623048449999,215.05173132125,218.56225724425,0.5621111111111112,0.5554810395208987,0.5729934418466329,0.5469033954250001,0.53616570119,201.56689763999998,209.06543329575
0.6517241379310345,0.5633333333333332,0.5578566741408789,0.567660639505636,0.7459736839925,0.7483001083575,216.49363302499998,215.7632045035,0.5848888888888889,0.5632384228853173,0.5926166786167556,0.5516646008425,0.5426462625125,198.66500980150002,198.90146661974998
0.6827586206896552,0.5836666666666667,0.570791648520336,0.602674191771979,0.747385703145,0.751077272745,213.9164117915,213.672961333,0.5888888888888889,0.571854283617677,0.6098463644237448,0.54841738152,0.5491534631,191.34094742124998,191.0141019605
0.7137931034482758,0.5436666666666666,0.5609542302123348,0.5442005971501955,0.747937863365,0.74266999358,210.4200018615,210.82589704525,0.5471111111111111,0.569999975691628,0.5475931061296344,0.5460641615299999,0.5308308643724999,188.4221185675,202.20363611525
0.7448275862068965,0.5242222222222223,0.5109783260632952,0.5506131335239725,0.7414176974350001,0.7417910787299999,212.5569316305,208.18852179675,0.529,0.5141232245004611,0.5558954156311635,0.5334422282425001,0.5285240256775,199.975872276,191.43813412100002
0.7758620689655172,0.5241111111111112,0.5193535691197406,0.5310642914016835,0.741846700205,0.741282340765,215.90901233374998,214.7528952765,0.5337777777777778,0.5557023137554775,0.5392456108972831,0.5269953534999999,0.5212550800825001,203.41605661224997,202.97567532000005
0.8068965517241379,0.5292222222222223,0.5321570878629631,0.5378227207753514,0.7449726338724999,0.741888240495,197.79120947975002,203.9945379085,0.5311111111111111,0.5429449710844595,0.5388799650662974,0.5340607981775001,0.5221431852299999,175.541038628,187.66132247625
0.8379310344827586,0.5111111111111112,0.5243330575371271,0.5148459449544196,0.7411377080674999,0.7388632033225001,216.196915365,215.801812355,0.5045555555555555,0.5380200273539596,0.5084277219752907,0.5230917229500001,0.5129992003775,205.140905737,203.86471832525004
0.8689655172413793,0.5174444444444445,0.5503631568034881,0.5226200017657406,0.7445091787075,0.7377462108525,216.6685777245,210.39743497925002,0.5052222222222221,0.5678524009205717,0.5104821678461152,0.5303618382724999,0.5127006403300001,207.2968881355,203.65064700775
0.9,0.5102222222222221,0.49392925971262536,0.5208046446338744,0.7377572746374998,0.7416158041700001,198.40213886175,204.48745529175,0.5113333333333333,0.5126533456618055,0.5208796926856244,0.51948219915,0.5240081419200001,184.40192831299998,182.38385372125003
