class_sep,flip_y,seed,phi_true,phi_btd_lr,phi_cl,bias_btd,bias_cl,btd_precision,btd_recall,btd_f1,btd_auc,cl_precision,cl_recall,cl_f1,cl_auc,jaccard_btd_cl,btd_rhat_max,btd_neff_min,btd_converged,btd_source
2.0,0.1,0,0.106,0.194,0.158,0.08800000000000001,0.052000000000000005,0.5051546391752577,0.9245283018867925,0.6533333333333333,0.908572875775611,0.5822784810126582,0.8679245283018868,0.696969696969697,0.8970495124730911,0.8051282051282052,,,False,fresh
2.0,0.1,1,0.121,0.135,0.128,0.014000000000000012,0.007000000000000006,0.8888888888888888,0.9917355371900827,0.9375,0.9873353453868501,0.9296875,0.9834710743801653,0.9558232931726908,0.9866160832651679,0.9197080291970803,,,False,fresh
2.0,0.1,2,0.101,0.128,0.108,0.026999999999999996,0.006999999999999992,0.7734375,0.9801980198019802,0.8646288209606987,0.9739699776429256,0.8703703703703703,0.9306930693069307,0.8995215311004785,0.9575601052875031,0.84375,,,False,fresh
2.0,0.1,3,0.084,0.107,0.089,0.022999999999999993,0.0049999999999999906,0.7663551401869159,0.9761904761904762,0.8586387434554974,0.9744489498856311,0.898876404494382,0.9523809523809523,0.9248554913294798,0.9712778124350177,0.8148148148148148,,,False,fresh
2.0,0.1,4,0.104,0.144,0.109,0.039999999999999994,0.0050000000000000044,0.6875,0.9519230769230769,0.7983870967741935,0.9508499313186812,0.7981651376146789,0.8365384615384616,0.8169014084507042,0.9059924450549451,0.7328767123287672,,,False,fresh
2.0,0.1,5,0.119,0.137,0.121,0.018000000000000016,0.0020000000000000018,0.8613138686131386,0.9915966386554622,0.921875,0.985015118419672,0.9008264462809917,0.9159663865546218,0.9083333333333333,0.9511727505985368,0.8695652173913043,,,False,fresh
2.0,0.15,0,0.153,0.228,0.201,0.07500000000000001,0.048000000000000015,0.5964912280701754,0.8888888888888888,0.7139107611548556,0.8901351174078447,0.6368159203980099,0.8366013071895425,0.7231638418079096,0.8752073832287737,0.8571428571428571,,,False,fresh
2.0,0.15,1,0.163,0.174,0.168,0.010999999999999982,0.0050000000000000044,0.9195402298850575,0.9815950920245399,0.9495548961424333,0.982434344100681,0.9345238095238095,0.9631901840490797,0.9486404833836858,0.9750240048082914,0.9322033898305084,,,False,fresh
2.0,0.15,2,0.148,0.172,0.158,0.023999999999999994,0.010000000000000009,0.813953488372093,0.9459459459459459,0.875,0.9541936302499684,0.8544303797468354,0.9121621621621622,0.8823529411764706,0.9425834284989215,0.896551724137931,,,False,fresh
2.0,0.15,3,0.122,0.149,0.132,0.026999999999999996,0.010000000000000009,0.7919463087248322,0.9672131147540983,0.8708487084870848,0.9659527988349079,0.8863636363636364,0.9590163934426229,0.9212598425196851,0.970966055491243,0.8733333333333333,,,False,fresh
2.0,0.15,4,0.163,0.198,0.172,0.035,0.00899999999999998,0.7727272727272727,0.9386503067484663,0.8476454293628809,0.9424434329441256,0.8255813953488372,0.8711656441717791,0.8477611940298507,0.9176616751324845,0.8592964824120602,,,False,fresh
2.0,0.15,5,0.167,0.183,0.171,0.015999999999999986,0.0040000000000000036,0.9016393442622951,0.9880239520958084,0.9428571428571428,0.9832076543192128,0.9298245614035088,0.9520958083832335,0.9408284023668639,0.9688450230391559,0.9032258064516129,,,False,fresh
2.0,0.2,0,0.197,0.262,0.249,0.065,0.05199999999999999,0.6679389312977099,0.8883248730964467,0.7625272331154684,0.8899905810065047,0.6827309236947792,0.8629441624365483,0.7623318385650224,0.8822815457263689,0.8856088560885609,,,False,fresh
2.0,0.2,1,0.212,0.221,0.214,0.009000000000000008,0.0020000000000000018,0.9321266968325792,0.9716981132075472,0.9515011547344111,0.9763312901063117,0.9392523364485982,0.9481132075471698,0.9436619718309859,0.965807872809118,0.9419642857142857,,,False,fresh
2.0,0.2,2,0.198,0.218,0.213,0.01999999999999999,0.014999999999999986,0.8577981651376146,0.9444444444444444,0.8990384615384616,0.9528955389304516,0.8779342723004695,0.9444444444444444,0.9099756690997567,0.9560127459129953,0.9070796460176991,,,False,fresh
2.0,0.2,3,0.173,0.204,0.191,0.031,0.018000000000000016,0.8284313725490197,0.976878612716763,0.896551724137931,0.9672784841092884,0.8691099476439791,0.9595375722543352,0.9120879120879121,0.964653913092101,0.9082125603864735,,,False,fresh
2.0,0.2,4,0.212,0.244,0.231,0.032,0.019000000000000017,0.8155737704918032,0.9386792452830188,0.8728070175438597,0.9407863231491236,0.8225108225108225,0.8962264150943396,0.8577878103837472,0.9220979791207741,0.8924302788844621,,,False,fresh
2.0,0.2,5,0.199,0.213,0.212,0.013999999999999985,0.012999999999999984,0.9154929577464789,0.9798994974874372,0.9466019417475728,0.9787137936875387,0.8915094339622641,0.949748743718593,0.9197080291970803,0.9605173181764002,0.8888888888888888,,,False,fresh
2.0,0.3,0,0.31,0.336,0.35,0.026000000000000023,0.03999999999999998,0.7827380952380952,0.8483870967741935,0.8142414860681114,0.8712949976624591,0.74,0.8354838709677419,0.7848484848484848,0.8517999064983637,0.8641304347826086,,,False,fresh
2.0,0.3,1,0.306,0.308,0.309,0.0020000000000000018,0.0030000000000000027,0.9318181818181818,0.9379084967320261,0.9348534201954397,0.9538245653688949,0.9223300970873787,0.9313725490196079,0.926829268292683,0.9483952082273831,0.9221183800623053,,,False,fresh
2.0,0.3,2,0.299,0.316,0.32,0.017000000000000015,0.02100000000000002,0.8544303797468354,0.903010033444816,0.8780487804878049,0.9186947456810385,0.821875,0.8795986622073578,0.8497576736672051,0.8991431256828516,0.8816568047337278,,,False,fresh
2.0,0.3,3,0.259,0.281,0.273,0.02200000000000002,0.014000000000000012,0.8683274021352313,0.9420849420849421,0.9037037037037037,0.946076209234104,0.8937728937728938,0.9420849420849421,0.9172932330827067,0.9514743198953725,0.9370629370629371,,,False,fresh
2.0,0.3,4,0.336,0.35,0.357,0.013999999999999957,0.020999999999999963,0.8657142857142858,0.9017857142857143,0.8833819241982507,0.915501290877797,0.8403361344537815,0.8928571428571429,0.8658008658008658,0.9035068846815835,0.8459530026109661,,,False,fresh
2.0,0.3,5,0.316,0.309,0.315,-0.007000000000000006,-0.0010000000000000009,0.9223300970873787,0.9018987341772152,0.912,0.9334055074394847,0.9047619047619048,0.9018987341772152,0.9033280507131537,0.929019542527204,0.9259259259259259,,,False,fresh
